name,slug,photoUrl,photoPath,position,positionType,isPastMember,yearCompleted,xHandle,instagramHandle,githubHandle,linkedinUrl,orcidUrl,gscholarUrl,researchgateUrl,utasProfileUrl,peronsalUrl,researchProjectIn5Words
Prof Mary-Anne Lea,mary-anne-lea,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd071a056a230789909dd_60bad0084214cae8271ec17a_malea.jpeg,malea.webp,Lab Leader,Staff,FALSE,,icetempete,mpred_lab,,,https://orcid.org/0000-0001-8318-9299,https://scholar.google.com.au/citations?user=U7aQd08AAAAJ&hl=en,https://www.researchgate.net/profile/Mary-Anne-Lea,https://www.utas.edu.au/profiles/staff/imas/mary-anne-lea,,marine predator ecology and behaviour
Dr Jane Younger,dr-jane-younger,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/6358f56f83fb345c9551044d_IMG_8187.jpg,jyounger.webp,Lecturer,Staff,FALSE,,jane_younger,,,https://www.linkedin.com/in/janeyounger/,,https://scholar.google.com/citations?user=CEBV6KoAAAAJ&hl=en,https://www.researchgate.net/profile/Jane-Younger-2,,,"marine predators, disease, climate change"
Dr Sophie Bestley,sophie-bestley,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62c01c22ad9536f913d99059_62bfeaf248259b13dd6a772b_sophie-bestley_cropped.png,sbestley.webp,Senior Lecturer,Staff,FALSE,,BestleySophie,,,,https://orcid.org/0000-0001-9342-669X,https://scholar.google.com/citations?user=9Nl9LvkAAAAJ&hl=en,https://www.researchgate.net/profile/Sophie-Bestley,https://www.utas.edu.au/profiles/staff/imas/sophie-bestley,,Integrated Southern Ocean ecology
Dr Lauren Roman,lauren-roman,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd070079cd35658326de7_60bad130320690eb03c2f935_lroman.jpeg,lroman.webp,DECRA Fellow Researcher,Staff,FALSE,,DrLaurenRoman,,,,https://orcid.org/0000-0003-3591-4905,,https://www.researchgate.net/profile/Lauren_Roman,https://rmdb.research.utas.edu.au/public/rmdb/q/indiv_detail_warp_trans/40837,,threatened australian seabird conservation
Dr Julie McInnes,julie-mcinnes,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd070024df8465e2bdb9e_60bad1409d47da2d53a95b99_jmcinnes.jpeg,jmcinnes.webp,Postdoc,Staff,FALSE,,pengatross,,,,,,https://www.researchgate.net/profile/Julie_McInnes,,,Stool tool for any fool
Dr David Green,david-green,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd06f7f5d65d63c27796c_60bacfbf3cf7fc2fd1959e70_dgreen.jpeg,dgreen.webp,Postdoc,Staff,FALSE,,davo.b.green,davo.b.green,,,https://orcid.org/0000-0002-0346-3129,,,,,Prey models and marine predators
Dr Clive McMahon,clive-mcmahon,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd06f56ff43844999b5d4_60bacfa52551d71bc5865740_cm.jpeg,cmcmahon.webp,Adjunct Researcher,Staff,FALSE,,,,,,https://orcid.org/0000-0001-5241-8917,https://scholar.google.com/citations?user=s8Fg-CcAAAAJ&hl=en,https://www.researchgate.net/profile/Clive-Mcmahon,https://www.utas.edu.au/profiles/staff/imas/clive-mcmahon,,IMOS Antarctic seal tracking program
Prof Mark Hindell,mark-hindell,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd070768f4420a04aa8f4_60bacff1c2e03c5617ef9189_mh.jpeg,mhindell.webp,Emeritus Professor,Staff,FALSE,,,,,,https://orcid.org/0000-0002-7823-7185,https://scholar.google.com.au/citations?user=8J8xm0kAAAAJ&hl=en,https://www.researchgate.net/profile/Mark-Hindell,https://www.utas.edu.au/profiles/staff/imas-qms-utas/mark-hindell,,antarctic southern ocean marine predators
Dr Penny Pascoe,penny-pascoe,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd072db3214e82d736da9_60bad2427a233c3af0e69407_ppascoe.jpeg,ppascoe.webp,Macquarie Island Project Researcher,Staff,FALSE,,pppascoe,,,,https://orcid.org/0000-0001-9586-1046,,https://www.researchgate.net/profile/Penelope-Pascoe,,,"Islands, guano, isotopes, recovery, time"
Dr Dahlia Foo,dahlia-foo,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62c01c2040626f7449cc844b_60bad1aa9d72e099e633bcfb_dfoo.jpeg,dfoo.webp,Adjunct Researcher,Staff,FALSE,2020,dahliasan_,dahliasan_,dahliasan,https://linkedin.com/in/dahliafoo,https://orcid.org/0000-0002-4983-9208,https://scholar.google.com/citations?user=XhccAjAAAAAJ&hl=en,https://www.researchgate.net/profile/Dahlia-Foo,,http://dahliafoo.xyz,bad weather sucks for pups
